original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
Kate & Leopold,2002-03-01,"Comedy, Fantasy, Romance",118,USA,English,James Mangold,"Steven Rogers, James Mangold","Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal",An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,6.4,77852,48000000,76019048,341,28019048
Glitter,2001-11-30,"Drama, Music, Romance",104,USA,English,Vondie Curtis-Hall,"Cheryl L. West, Kate Lanier","Mariah Carey, Max Beesley, Da Brat, Tia Texada, Valarie Pettiford, Ann Magnuson, Terrence Howard, Dorian Harewood, Grant Nickalls, Eric Benét, Padma Lakshmi, Don Ackerman, Ed Sahely, Carmen Wong, James Allodi","A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.",2.2,21298,22000000,5271666,319,-16728334
Chicken Run,2000-12-15,"Animation, Adventure, Comedy",84,"UK, USA, France",English,"Peter Lord, Nick Park","Peter Lord, Nick Park","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",7,173987,45000000,224834564,393,179834564
Fantastic Four,2005-09-16,"Action, Adventure, Fantasy",106,"USA, Germany",English,Tim Story,"Mark Frost, Michael France","Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Hamish Linklater, Kerry Washington, Laurie Holden, David Parker, Kevin McNulty, Maria Menounos, Michael Kopsa, Andrew Airlie, Pascale Hutton, G. Michael Gray","A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",5.7,307944,100000000,333535934,1029,233535934
Frida,2003-01-17,"Biography, Drama, Romance",123,"Mexico, USA, Canada",English,Julie Taymor,"Hayden Herrera, Clancy Sigal","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work",7.4,79690,12000000,56298474,297,44298474
From Hell,2001-12-21,"Horror, Mystery, Thriller",122,"USA, Czech Republic, UK",English,"Albert Hughes, Allen Hughes","Alan Moore, Eddie Campbell","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane, Ian Richardson, Jason Flemyng, Katrin Cartlidge, Terence Harvey, Susan Lynch, Paul Rhys, Lesley Sharp, Estelle Skornik, Nicholas McGaughey, Annabelle Apsion, Joanna Page","In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.",6.8,144714,35000000,74558115,556,39558115
The Lord of the Rings: The Fellowship of the Ring,2002-01-18,"Action, Adventure, Drama",178,"New Zealand, USA",English,Peter Jackson,"J.R.R. Tolkien, Fran Walsh","Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Marton Csokas, Megan Edwards, Michael Elsworth, Mark Ferguson, Ian Holm, Christopher Lee, Lawrence Makoare",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,8.8,1619920,93000000,887934303,5392,794934303
The Million Dollar Hotel,2000-03-31,"Drama, Mystery, Thriller",122,"Germany, UK, USA",English,Wim Wenders,"Nicholas Klein, Bono","Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits, Peter Stormare, Amanda Plummer, Gloria Stuart, Tom Bower, Donal Logue, Bud Cort, Julian Sands, Conrad Roberts, Harris Yulin, Charlayne Woodard, Ellen Cleghorne","Tragi-comic, romantic whodunnit set in a run down hotel which plays host to mentally ill people too poor to afford medical insurance.",5.9,20570,8000000,105983,184,-7894017
Mission: Impossible II,2000-07-07,"Action, Adventure, Thriller",123,"USA, Germany",English,John Woo,"Bruce Geller, Ronald D. Moore","Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, John Polson, Brendan Gleeson, Rade Serbedzija, William Mapother, Dominic Purcell, Mathew Wilkinson, Nicholas Bell, Cristina Brogeras, Kee Chan, Kim Fleming","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",6.1,308586,125000000,546388108,1501,421388108
Resident Evil,2002-07-05,"Action, Horror, Sci-Fi",100,"UK, Germany, USA",English,Paul W.S. Anderson,Paul W.S. Anderson,"Ryan McCluskey, Oscar Pearce, Indra Ové, Anna Bolt, Joseph May, Robert Tannion, Heike Makatsch, Jaymes Butler, Stephen Billington, Fiona Glascott, Milla Jovovich, Eric Mabius, Colin Salmon, Martin Crewes, Pasquale Aleardi","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",6.7,243241,33000000,102984862,1178,69984862
The Shipping News,2002-02-15,Drama,111,"Canada, USA",English,Lasse Hallström,"Annie Proulx, Robert Nelson Jacobs","Kevin Spacey, Julianne Moore, Judi Dench, Cate Blanchett, Pete Postlethwaite, Scott Glenn, Rhys Ifans, Gordon Pinsent, Jason Behr, Larry Pine, Jeannetta Arnette, Robert Joy, Alyssa Gainer, Kaitlyn Gainer, Lauren Gainer",An emotionally beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,6.7,31614,38000000,24690441,210,-13309559
X-Men,2000-10-27,"Action, Adventure, Sci-Fi",104,USA,English,Bryan Singer,"Tom DeSanto, Bryan Singer","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn, Bruce Davison, Matthew Sharp, Brett Morris, Rhona Shekter, Kenneth McGregor","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",7.4,562022,75000000,296339528,1448,221339528
Men in Black II,2002-09-13,"Action, Adventure, Comedy",88,USA,English,Barry Sonnenfeld,"Lowell Cunningham, Robert Gordon","Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle, Johnny Knoxville, Rosario Dawson, Tony Shalhoub, Patrick Warburton, Jack Kehler, David Cross, Colombe Jacobsen-Derstine, Peter Spellos, Michael Rivkin, Michael Bailey Smith, Lenny Venito",Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.,6.2,337088,140000000,445135288,650,305135288
Titan A.E.,2000-09-29,"Animation, Action, Adventure",94,USA,English,"Don Bluth, Gary Goldman","Hans Bauer, Randall McCormick","Drew Barrymore, Jim Breuer, Ken Hudson Campbell, Thomas A. Chantler, Tsai Chin, Elaine A. Clark, Roy Conrad, Jim Cummings, Matt Damon, Janeane Garofalo, Leslie Hedger, Roger Jackson, David L. Lander, Nathan Lane, John Leguizamo",A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,6.6,58060,75000000,36754634,396,-38245366
The Emperor's New Groove,2001-04-06,"Animation, Adventure, Comedy",78,USA,English,Mark Dindal,"Chris Williams, Mark Dindal","David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso, Eli Russell Linnetz, Stephen J. Anderson, Bob Bergen, Rodger Bumpass, Robert Clotworthy, Jennifer Darling, Patti Deutsch, John Fiedler, Miriam Flynn","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",7.3,175207,100000000,169327687,330,69327687
Corpse Bride,2005-10-28,"Animation, Drama, Family",77,"USA, UK",English,"Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel","Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse, Joanna Lumley, Albert Finney, Richard E. Grant, Christopher Lee, Michael Gough, Jane Horrocks, Enn Reitel, Deep Roy, Danny Elfman, Stephen Ballantyne","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",7.3,237421,40000000,118090836,525,78090836
