"original_title","date_published","genre","duration","country","language_1","director","writer","actors","description","avg_vote","votes","budget","worlwide_gross_income","reviews_from_users","profit","profit_norm","votes_norm","reviews_norm","avg_vote_norm","age","success","success_norm"
"Chicken Run",2000-12-15,"Animation, Adventure, Comedy",84,"UK, USA, France","English","Peter Lord, Nick Park","Peter Lord, Nick Park","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",7,173987,4.5e+07,224834564,393,179834564,0.0704085292665124,0.0540141630591036,0.0161069894572433,0.166666666666667,20,0.295509489696802,0.102137589438552
"Frida",2003-01-17,"Biography, Drama, Romance",123,"Mexico, USA, Canada","English","Julie Taymor","Hayden Herrera, Clancy Sigal","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work",7.4,79690,1.2e+07,56298474,297,44298474,0.0173275750661392,0.0108711864375761,0.00673565013666536,0.333333333333334,17,0.365709486668055,0.12673452261132
"From Hell",2001-12-21,"Horror, Mystery, Thriller",122,"USA, Czech Republic, UK","English","Albert Hughes, Allen Hughes","Alan Moore, Eddie Campbell","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane, Ian Richardson, Jason Flemyng, Katrin Cartlidge, Terence Harvey, Susan Lynch, Paul Rhys, Lesley Sharp, Estelle Skornik, Nicholas McGaughey, Annabelle Apsion, Joanna Page","In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.",6.8,144714,3.5e+07,74558115,556,39558115,0.0154710748603835,0.0406211139202978,0.0320187426786412,0.0833333333333334,19,0.159846304495346,0.0546034235642788
"The Lord of the Rings: The Fellowship of the Ring",2002-01-18,"Action, Adventure, Drama",178,"New Zealand, USA","English","Peter Jackson","J.R.R. Tolkien, Fran Walsh","Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Marton Csokas, Megan Edwards, Michael Elsworth, Mark Ferguson, Ian Holm, Christopher Lee, Lawrence Makoare","A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",8.8,1619920,9.3e+07,887934303,5392,794934303,0.311304375343528,0.715560698105766,0.504099960952753,0.916666666666667,18,2.26158177002589,0.791017227309322
"Resident Evil",2002-07-05,"Action, Horror, Sci-Fi",100,"UK, Germany, USA","English","Paul W.S. Anderson","Paul W.S. Anderson","Ryan McCluskey, Oscar Pearce, Indra Ové, Anna Bolt, Joseph May, Robert Tannion, Heike Makatsch, Jaymes Butler, Stephen Billington, Fiona Glascott, Milla Jovovich, Eric Mabius, Colin Salmon, Martin Crewes, Pasquale Aleardi","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",6.7,243241,3.3e+07,102984862,1178,69984862,0.0273873162391435,0.0856994097047792,0.0927372120265521,0.0416666666666669,18,0.220271458949312,0.0757754114586229
"X-Men",2000-10-27,"Action, Adventure, Sci-Fi",104,"USA","English","Bryan Singer","Tom DeSanto, Bryan Singer","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn, Bruce Davison, Matthew Sharp, Brett Morris, Rhona Shekter, Kenneth McGregor","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",7.4,562022,7.5e+07,296339528,1448,221339528,0.0866634108495073,0.231548813507521,0.119094103865677,0.333333333333334,20,0.712199175327173,0.248138854302267
"The Emperor's New Groove",2001-04-06,"Animation, Adventure, Comedy",78,"USA","English","Mark Dindal","Chris Williams, Mark Dindal","David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso, Eli Russell Linnetz, Stephen J. Anderson, Bob Bergen, Rodger Bumpass, Robert Clotworthy, Jennifer Darling, Patti Deutsch, John Fiedler, Miriam Flynn","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",7.3,175207,1e+08,169327687,330,69327687,0.0271299421620499,0.0545723402172133,0.00995704802811402,0.291666666666667,19,0.373022985505462,0.129297053237019
"Corpse Bride",2005-10-28,"Animation, Drama, Family",77,"USA, UK","English","Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel","Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse, Joanna Lumley, Albert Finney, Richard E. Grant, Christopher Lee, Michael Gough, Jane Horrocks, Enn Reitel, Deep Roy, Danny Elfman, Stephen Ballantyne","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",7.3,237421,4e+07,118090836,525,78090836,0.030561915968584,0.0830366301472398,0.0289925810230379,0.291666666666667,15,0.41964528800071,0.14563274708763
"Star Wars: Episode III - Revenge of the Sith",2005-05-20,"Action, Adventure, Fantasy",140,"USA","English","George Lucas","George Lucas","Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid, Samuel L. Jackson, Jimmy Smits, Frank Oz, Anthony Daniels, Christopher Lee, Keisha Castle-Hughes, Silas Carson, Jay Laga'aia, Bruce Spence, Wayne Pygram, Temuera Morrison","Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",7.5,694239,1.13e+08,868390560,3569,755390560,0.29581758056367,0.292041034256522,0.326142131979695,0.375,15,1.20836815989951,0.421988368297596
"Shrek",2001-06-15,"Animation, Adventure, Comedy",90,"USA","English","Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",7.8,600116,6e+07,487769799,1071,427769799,0.167509152825107,0.248977666508364,0.0822920734088247,0.5,19,0.945887085528627,0.330019283910587
